video_name,captions,labels
ao_03.mp4,"The video depicts the entrance area of a dimly lit building. Throughout the video, several individuals enter the frame, walk towards the entrance doors, and exit the building. Early in the video, one individual stops and looks around before continuing to exit. Another notable action occurs when a person carrying a backpack enters, places the backpack on the floor near the entrance, and then exits the building. This specific action constitutes an abandoned object anomaly as the backpack is left unattended in a public space. There are no signs of violence, vandalism, or other suspicious activities throughout the video.",abandoned_object
ao_04.mp4,"The video primarily features a hallway where individuals periodically walk through, often carrying backpacks. The key events include these individuals entering the hallway from either side and walking towards an exit sign. Throughout the video, multiple people pass through the hallway in a consistent pattern, with moments where the corridor is briefly empty.In terms of anomalous activity, although there is no apparent vandalism, violence, or suspicious behavior, there is a notable instance where an object, likely a backpack, is left unattended near the exit. This unattended object could be considered an anomalous activity as it poses a potential security concern in a public area",abandoned_object
ao_05.mp4,"The key event in the video involves a person walking across a rooftop area while pulling a suitcase. Throughout the video, the person frequently stops to adjust their backpack and suitcase, and they repeatedly pass a bench on the left side while continuing to walk towards the camera. The person takes in the view of the cityscape in the background several times, suggesting a deliberate and measured pace.Regarding anomalous activity, while there is no evidence of vandalism, violence, or suspicious behavior, the unattended suitcase that remains stationary on the rooftop could be considered unusual. Leaving an object unattended in such a location is atypical and might be regarded as a potential anomaly.",abandoned_object
ao_06.mp4,"The video takes place in a bustling exhibition hall filled with various booths and numerous attendees. The attendees are seen engaging in typical activities such as walking around, interacting with displays, and conversing with exhibitors. Throughout the video, people can be observed examining products and moving through the hall.There are no instances of violence, vandalism, or other suspicious activities typically associated with security concerns. However, there is one notable incident that could be categorized as an abandoned object anomaly. Midway through the video, around the 15-second mark, a man in a white shirt and dark pants leaves a green trash bin behind near a booth and walks away without it. This is the only instance of an anomalous event in the otherwise normal and expected activities of the exhibition hall.In summary, the video predominantly shows standard exhibition hall activities with one potential anomaly involving an abandoned object.",abandoned_object
ao_07.mp4,"In the video, a person is seen walking towards the camera, carrying a backpack. At approximately 10 seconds into the video, this individual places the backpack on the ground near a tree and then walks away, leaving the backpack unattended. This action qualifies as an abandoned object anomaly, as it involves leaving an object unattended in a public space, which could pose a potential security risk or concern for others in the area. The remainder of the video does not show any further unusual activities related to this abandoned object, nor are there any instances of violence, vandalism, or other suspicious activities.",abandoned_object
ao_08.mp4,"Regarding anomalous events, there are no instances of violence, vandalism, or suspicious activities observed in the video. However, there is one instance where an individual leaves a shopping cart unattended near the entrance of a store. This could potentially be categorized as an abandoned object anomaly, as the shopping cart is left behind and unattended. While this is a relatively minor anomaly and could be due to various reasons such as the individual momentarily stepping away or forgetting the cart, it does meet the criteria of an abandoned object as defined in the question.",abandoned_object
ao_09.mp4,"In the video, a man is observed walking through a train station carrying a black suitcase. He approaches a bench and sits down, placing the suitcase beside him. The man appears anxious or impatient, frequently checking his watch and looking around the station. Several trains arrive and depart, but the man repeatedly stands up as if to board, only to sit back down each time. Eventually, he boards a train and leaves the station, but he leaves the suitcase behind on the bench.This unattended suitcase constitutes an abandoned object anomaly, which is a potential security concern in public spaces like train stations. Such incidents should be reported to ensure the safety and security of everyone in the area.",abandoned_object
ao_10.mp4,"The video captures a bustling underground train station with various activities taking place. Key events include people walking through the station, waiting on benches, and interacting with each other. Early in the video, a man in a suit and a woman in a black dress are seen hurrying towards the camera. Shortly after, a man carrying a suitcase and a group of students pass by, with one student struggling with a backpack. A woman with glasses and a briefcase sits down on a bench, looking tired, and is later surprised by a young man wearing headphones who jumps over the bench and sits next to her. This young man eventually leaves, and the woman walks away determinedly. Another man with a large suitcase appears lost but eventually finds his way to the correct platform and boards a train. The video concludes with the station gradually emptying as people board their trains.Regarding anomalous activity, there is no apparent vandalism, violence, or suspicious behavior. However, there is one instance of a potentially abandoned object: a suitcase left unattended on a bench around the 30-second mark. This could be considered an anomalous activity in the context of the video. Overall, the video depicts typical behavior for a busy train station.",abandoned_object
ao_11.mp4,"The video depicts a bustling scene in a subway station with people walking along the platform and waiting for trains. Throughout the video, there are no instances of violence, vandalism, or suspicious activities observed. The station remains busy and chaotic, with people constantly moving in and out of the frame.However, towards the end of the video, a potential anomaly is detected. A small black object can be seen on the ground near a bench. This object remains stationary as people walk by, suggesting that it may have been left behind or unattended. This could potentially be categorized as an abandoned object anomaly, as it does not appear to belong to anyone in the immediate vicinity and has been left unattended for a significant period of time. Further investigation would be required to confirm whether the object poses any actual threat or concern.",abandoned_object
ao_12.mp4,"In the video, the primary setting is a long, empty corridor with consistent lighting and a shiny marble floor. Early in the video, a person carrying a green bag walks into the hallway and leaves the bag near a chair before continuing down the hallway. This action is significant as it can be categorized as an abandoned object anomaly, given that the bag is left unattended. This behavior is unusual and could potentially pose a security risk if the bag contains harmful items.Throughout the video, there are no signs of violence, vandalism, or other suspicious activities. The corridor sees regular movement with two individuals passing through it at intervals. One person is seen pushing a cleaning cart, while the other, who initially left the green bag, reappears and continues walking. The video concludes with the second person pushing the cleaning cart out of the frame.Given the context, the abandoned green bag near the chair is the only notable anomaly, and it is essential to monitor such situations closely to ensure safety and security in the area.",abandoned_object
ao_13.mp4,"The key events in this video include the arrival and departure of passengers and the handling of luggage by airport staff. Early in the video, a man is seen pulling a red suitcase through the terminal and interacting briefly with airport staff. He then leaves the suitcase unattended near a barrier. Another man approaches, picks up the unattended suitcase, and walks away. The airport staff notice the missing suitcase, locate the second man, and question him. They retrieve the suitcase and place it back near the barrier, standing guard around it to prevent further incidents.There is no evidence of vandalism, violence, or suspicious activities. However, the unattended baggage left behind near the barrier could be considered an abandoned object, posing a potential security risk. The interactions between the airport staff and passengers appear normal and professional",abandoned_object
ao_14.mp4,"The video takes place in a train station where various activities unfold. Initially, people are seen walking around the platform, some carrying luggage while others wait for their trains. A notable sequence involves a man dragging a large suitcase. He moves around the station, occasionally stopping to adjust the suitcase. Eventually, he leaves the suitcase near a bench and walks away, leaving it unattended. This action is considered an anomaly as it involves leaving an object unattended in a public space, which could pose a security concern. The suitcase remains stationary for an extended period, highlighting its presence as an abandoned object. Overall, the video captures a potential security issue related to unattended luggage in a public transportation environment.",abandoned_object
ao_15.mp4,"The video depicts a sequence of actions where a person enters a room carrying a suitcase, moves around briefly, and then exits the room, leaving the suitcase behind. Throughout the video, there are no signs of violence, vandalism, or any other suspicious activities. However, the act of leaving the suitcase unattended qualifies as an abandoned object anomaly, which could be considered unusual or suspicious, especially in contexts like public spaces or areas with heightened security concerns.",abandoned_object
ao_16.mp4,"The video primarily captures the activities at a train station platform. Key events include individuals walking through the station, entering and exiting the train, and standing around. Notably, there is one instance where a person leaves an unattended bag near the train door, which could be considered an abandoned or unattended object. This might warrant further investigation or a security response in a real-world scenario. Other than this, there are no signs of vandalism, violence, or suspicious activities observed in the video.",abandoned_object
ao_17.mpv4,"The video depicts a series of actions and activities occurring in a public space, specifically on a sidewalk with a checkered pattern. Throughout the video, various individuals walk along the sidewalk, occasionally stopping near a manhole cover in the center of the frame. Each person enters from the left side, pauses briefly near the manhole cover, and then continues walking towards the right side of the frame. This pattern repeats multiple times with different individuals.There are no instances of violence, vandalism, or other suspicious activities captured in the video. However, there is one potential anomaly: a black backpack is left unattended near a blue trash bin for an extended period. This could be considered an abandoned object anomaly, as it is unclear why the backpack was left behind and whether it poses a potential threat or not. Overall, the video primarily shows typical pedestrian traffic in a public area, with the exception of the unattended backpack.",abandoned_object
ao_23.mp4,"The key events in this video include the arrival and parking of a school bus labeled ""Pegasus-v1"" at a university campus. Throughout the video, the bus remains stationary, and there is no apparent vandalism, violence, or suspicious activities observed. However, there is an anomalous object present—a small wooden box—located near the rear wheel of the bus. This object remains unattended throughout the video, which could potentially be considered an abandoned object.",abandoned_object
ao_25.mp4,"The key events in this video involve a group of students gathering around a broken brick on the ground, discussing it, and pointing at it. They are seen interacting near a school bus and a university building, moving between these locations while engaged in conversation. There is no apparent anomalous activity such as vandalism, violence, or suspicious behavior. However, the presence of an unattended brick on the school premises could be considered an abandoned object, which might be unusual depending on the context and typical conditions at the school.",abandoned_object
ao_28.mp4,"The key events in the video include students waiting for buses and interacting with each other in a bustling school environment. There is a notable presence of multiple buses lined up in front of a building labeled ""University,"" with students walking around, engaging in conversations, and moving towards the buses. One specific event of interest is a person walking with a backpack near the buses.Regarding anomalous activity, there is no apparent vandalism, violence, or suspicious activities observed. However, there is an unattended backpack near one of the buses, which could potentially be considered an abandoned object. The context and location of the video could influence the interpretation of this event, but the unattended backpack stands out as a potential anomaly.",abandoned_object
ao_33.mp4,"The key events in the video include individuals walking up and down the stairs in a building. Early in the video, a young man in a green shirt and jeans is seen descending the stairs, while a young woman in a pink shirt and jeans starts ascending. They greet each other with a hug when they meet on the stairs and then continue walking down together, talking and laughing. The video concludes with an empty staircase.Regarding anomalous activity, there is no evidence of vandalism, violence, or suspicious activities. However, there is an abandoned object on the stairs, specifically a box seen lying on the stairs around the middle of the video, which remains unattended throughout. This unattended object could potentially pose a safety hazard if not addressed.",abandoned_object
ao_34.mp4,"In the video, a group of young men is initially seen sitting on the floor along a corridor in a public building, engaged in conversation. Another young man joins them, and they continue talking. One of the young men then stands up and starts walking away, while the others remain seated. As he walks further down the corridor, he occasionally looks back at his friends. Eventually, he starts running and disappears from view. The remaining young men then get up and start walking in the same direction, eventually disappearing from view as well. Throughout these events, a backpack is left behind on the floor near a railing. This backpack appears to be abandoned, as none of the individuals return to retrieve it, leaving it unattended in the public space. The video concludes with an empty corridor, and the backpack remains the only abandoned object observed.",abandoned_object
ao_35.mp4,"In the video, a white Hyundai i10 is parked in a multi-level parking garage. Throughout the video, the camera repeatedly shifts its angle, providing different views of the car and the surrounding area. Notably, there are two objects placed near the vehicle: a cardboard box next to the driver's side door and a black backpack near the rear passenger side door.The cardboard box remains unattended and unchanged throughout the video, which classifies it as an abandoned object anomaly. This unattended box could potentially pose a security risk, as its contents are unknown and could threaten the safety of the parking garage's vehicles and individuals. There are no signs of violence, vandalism, or suspicious activities observed in the video. It is recommended that authorities or property management investigate the abandoned box to ensure the garage's security.",abandoned_object
ao_36.mp4,"The video depicts a scene on a rooftop where two individuals are initially seen observing their surroundings near a green water tank and a rolled-up mat. Shortly after, a third person joins them, and they continue to look out over the rooftop. The camera then pans to reveal more of the rooftop, including a small tree in a pot and a larger water tank with some plants. Throughout the video, the individuals remain mostly stationary and do not engage in any notable activities or interactions. However, there is an instance of an abandoned object anomaly. At the beginning of the video, a backpack is left unattended on the rooftop. This backpack remains unattended throughout the entire video sequence, and the individuals do not interact with it or seem to notice its presence. This lack of attention towards the backpack suggests that it has been abandoned or left unattended, which could be considered an anomaly in certain contexts.No signs of violence, vandalism, or other suspicious activities are observed in the video. The primary anomalous event is the presence of the unattended backpack.",abandoned_object
ao_37.mp4,"In the video, a white Hyundai i10 is parked in a multi-level parking garage. The car is situated between two red pillars, with a red car parked behind it and a red motorcycle parked to the right. The camera captures various angles of the parking garage, revealing its structure and the consistent lighting that casts shadows on the car and surrounding areas.As the video progresses, two individuals approach the white Hyundai i10. One of them drops a black backpack near the rear tire of the car. This backpack remains in that position throughout the video, indicating that it has been abandoned. No other unattended items are observed in the video.The actions in the video include the initial stationary view of the parked car, slight camera movements to capture different angles of the garage, and the approach of the two individuals leading to the abandonment of the black backpack. The video concludes with the backpack still lying near the rear tire of the white Hyundai i10, with no further significant changes in the scene.",abandoned_object
ao_38.mp4,"The video depicts a calm and peaceful playground area featuring a slide, swing set, and a small pool filled with water. Early in the video, a man wearing a red shirt and blue jeans is seen walking towards the camera. He stops briefly to look around the playground before continuing his walk. As he moves past the slide and swing set, he adjusts his backpack and then picks up a blue backpack that was lying on the ground near the slide. He then walks back towards the camera, stops again to look at it, and finally exits the frame, leaving the playground area behind.Throughout the video, there are no signs of violence, vandalism, or suspicious activities. However, there are instances of abandoned objects, such as a backpack, a water bottle, and a cardboard box, which are left unattended in the playground area. These items remain stationary as individuals walk past them, indicating that they have been abandoned. No immediate action is taken to address these abandoned objects, which could potentially pose a safety hazard or attract unwanted attention in a real-world scenario.",abandoned_object
ao_39.mp4,"In the video, a young man enters a building and approaches an elevator. He presses the button to call the elevator and waits. When the elevator arrives, he enters and selects a floor. As the elevator ascends, he adjusts his backpack and looks around the elevator. Upon reaching his floor, he exits the elevator and walks down the hallway to a door, which he opens and enters. Throughout the video, there are no signs of violence, vandalism, or suspicious activities. However, the young man does leave his backpack near the elevator before entering the hallway, which could be considered an abandoned object anomaly.",abandoned_object
ao_41.mp4,"In the video, two individuals are seen sitting on the ground in an empty parking garage, engaged in a relaxed and friendly conversation. As the video progresses, one of the individuals stands up and walks away, leaving the other person sitting alone. This individual soon returns with a water bottle, which they offer to the seated person. They continue to sit together, sharing the water bottle, before both stand up and walk towards the exit of the parking garage. They leave the garage together, continuing their conversation as they step out into the daylight.Throughout the video, there are no signs of violence, vandalism, or suspicious activities. However, there is an instance of an abandoned object anomaly. When the two individuals leave the parking garage, they leave behind a water bottle, which remains unattended for the rest of the video. This unattended water bottle categorizes the event as an abandoned object anomaly.",abandoned_object
ao_42.mp4,"In the video, a man is seen walking along a pathway surrounded by greenery and buildings. As he walks, he passes by a bench where a rectangular cardboard box is placed. The box appears to be abandoned as no one is attending to it or carrying it. It is located on the bench near the pathway where the man is walking. There are no distinguishing features or labels on the box to indicate its contents or owner. The man continues walking past the bench without stopping or interacting with the box in any way. Throughout the rest of the video, no other abandoned objects are observed.",abandoned_object
ao_43.mp4,"The video depicts a stationary scene of a staircase within a building, where a black backpack with red accents is placed on the second step from the bottom. Throughout the video, the backpack remains in the same position, undisturbed, while people walk up and down the stairs. There are no signs of violence, vandalism, or any other suspicious activities. However, the backpack being left unattended on the stairs can be considered an abandoned object anomaly. This unattended backpack could potentially pose a security risk if it contains harmful items or obstructs the path of other individuals using the staircase.",abandoned_object
ao_45.mp4,"The video depicts a long, empty hallway with a shiny floor and walls. Throughout the video, there are no signs of people or any activity. The primary focus is on a backpack lying on the floor near the end of the hallway, which appears to be unattended and abandoned. The camera moves around the hallway, capturing different angles and details of the backpack, as well as other parts of the hallway, such as a set of double doors with an ""Exit"" sign, a window looking out onto a courtyard, and a water fountain mounted on the wall. The lighting remains consistent with bright fluorescent lights, and there is a faint hum of the lights and air conditioning in the background.The unattended backpack is the only notable element in the video and could be considered an anomalous event due to the potential safety concerns associated with abandoned objects. However, there are no indications of violence, vandalism, or any other suspicious activities occurring in the video. The backpack remains stationary throughout, and no one comes to retrieve it. Overall, the video shows a quiet, empty hallway with an unattended backpack, which may be of interest to security personnel or other authorities.",abandoned_object
ao_46.mp4,"In the video, two individuals are seen carrying multiple bags and boxes into an elevator. Upon exiting the elevator, they leave behind a brown cardboard box and a tan backpack near the elevator door. These items remain unattended for the duration of the video. The setting is a residential building hallway with an elevator, and the objects are specifically left on the floor near the elevator door. No other abandoned objects are observed in the video.",abandoned_object
ao_44.mp4,"In the video, there is a black backpack lying on the ground near the entrance of the parking garage. It is positioned between two parked cars, partially obscured by one of the vehicles. The backpack appears to be unattended and abandoned. No other objects fitting the description are visible in the video.",abandoned_object
"ao_47.,mp4","In the video, there is a backpack leaning against the wall near the entrance of the parking garage. It is located to the right of the frame as you enter the garage. The backpack appears to be unattended and could potentially be considered an abandoned object. Other than this backpack, there are no other objects in the video that seem to be left unattended.",abandoned_object
ao_20.mp4,"In the video, there is a backpack placed on the floor near the second row of desks in a classroom setting. This is the only unattended object observed throughout the video. No other abandoned items were detected.",abandoned_object
27r.mp4,"The key events in this video involve a person walking towards a store, entering it, and then running away. Early in the video, a person is seen walking towards a storefront, passing a parked motorcycle, and entering the store after briefly taking off and then picking up their shoes. The person then moves towards the back of the store. Following this, a red liquid is seen pouring out from the store's entrance, creating a large puddle on the ground.This sequence of events includes anomalous activity. The act of pouring the red liquid can be interpreted as an intentional act of vandalism, and the suspicious behavior of the individual suggests involvement in this act. There is no indication of violence or unattended objects in the video.",vandalism
20r.mp4,"The video captures a series of notable events involving a single individual. Early in the video, a person is seen approaching the entrance of a house. This individual then runs toward the door, jumps onto the porch, and appears to attempt to break in. Following a brief struggle, the person falls off the porch, landing on the ground. The individual then gets up, runs away from the house, and leaves behind a backpack and some other items.The video shows several instances of anomalous activity. The attempted break-in and the subsequent abandonment of personal belongings are particularly suspicious. These actions could potentially indicate vandalism or theft. Additionally, the person’s initial behavior, which includes performing skateboard tricks on the stairs, adds to the overall unusual and erratic nature of the scene.",vandalism
9r.mp4,"The key events in the video include a person walking alone through a dimly lit parking lot during nighttime. The individual approaches the camera, stops to look directly into it, and then continues walking towards it. Upon reaching the camera, the person pauses for a few seconds, looks into the camera again, and then turns around and walks away, eventually exiting the frame.While there is no clear evidence of vandalism, violence, or suspicious activities, the presence of a person walking alone in a parking lot during late hours could be considered unusual or unexpected. However, without additional context about the typical usage patterns of the parking lot, it is difficult to definitively c",vandalism
1r.mp4,"The video captures a series of significant events. Initially, a person is seen walking down a pathway carrying a bag. Early in the video, a cat darts across the path, causing the person to drop the bag. Shortly after, another individual approaches from behind and begins to assault the first person with a stick. The first person attempts to defend themselves with a small knife, but the attacker disarms them and continues the assault with kicks and punches. The attacker then uses a garden hose to spray the first person, seemingly to humiliate them, before leaving the scene. The first person, injured, struggles to stand and gather their belongings, collapses, and remains on the ground as the video ends.

There is a clear instance of violence with the attack and no evidence of malicious vandalism or destruction of property. The abandoned object, the bag, spills red paint, but this appears to be an accident rather than deliberate vandalism",vandalism
2r.mp4,"The video depicts a nighttime scene in a parking lot filled with shopping carts. Early in the video, two individuals approach the area and begin moving the shopping carts around. One person starts loading items from the carts onto a yellow flatbed cart while the other stands guard. They continue this activity, filling the flatbed cart and pushing it away. They return with another flatbed cart to collect more items, repeating this process several times. Eventually, they leave the area, and the parking lot is once again filled with stationary shopping carts.Throughout the video, the individuals are wearing dark clothing and hoodies, making it difficult to see their faces clearly. There is no evidence of violence, vandalism, or deliberate destruction or damage of property. No activities such as breaking windows, graffiti, keying a car, carving initials into wood fences, defacing park benches, scratching car paint, tire slashing, vandalism of art, setting fire to property, or burglary are observed. Additionally, there are no actions involving altering or removing public property. Therefore, the video does not depict any instances of vandalism or disruptions.",vandalism
3r.mp4,"The video depicts a sequence of events involving several individuals riding motorcycles and scooters on a residential street. Initially, a blue car is parked on the left side of the street, and a row of parked cars and a sidewalk with trees and flowers are visible on the right side. As the video progresses, numerous motorcycles and scooters pass by the parked car. At one point, one of the motorcyclists falls off their bike near the parked car but quickly gets up and appears to be unharmed. The motorcyclists then continue riding away from the scene.Throughout the video, there are no instances of violence, abandoned objects, vandalism, or deliberate destruction of property. Additionally, there is no evidence of spray painting walls, altering or removing public property, or any other disruptive actions. The key events are primarily the passage of the motorcyclists and the minor incident where one rider falls but is uninjured.",vandalism
5r.mp4,"The video shows a sequence where a person approaches a parked car, attempts to open its door, and then moves to the back of the car, seemingly tampering with something. The person eventually enters the car and drives away. Another vehicle parked behind the first car also reverses out of its spot and drives away. There is no evidence of violence, vandalism, spray painting, or any alteration or removal of public property. However, the actions of the person towards the car could be considered suspicious or potentially damaging.",vandalism
6r.mp4,"The video primarily depicts a person riding a skateboard in a parking lot. The individual is seen carrying a bag and a skateboard, interacting with their parked car, and moving around the parking lot on the skateboard. They pass by various objects such as a parking meter, parked cars, a trash can, and a fire hydrant. The person eventually returns to their car, places the skateboard inside, and walks away from the vehicle. Throughout the video, there is no evidence of violence, abandoned objects, vandalism, or any form of property damage. The person's actions do not involve any malicious or mischievous behavior, nor do they alter or remove public property. Therefore, the video does not contain any instances of the activities mentioned in the question.",vandalism
7r.mp4,"The video captures several key events occurring on a residential street at night. Initially, two individuals are seen walking along the street. Shortly after, a car approaches and stops near them, and they enter the vehicle, which then drives away. Another car arrives at the same location, and an individual exits and begins spray painting the walls of a nearby house, indicating an act of vandalism. This individual then returns to the car, which drives away.Following this, a loud explosion occurs, engulfing a parked car in flames and causing significant damage to another nearby vehicle. The explosion shatters windows and sends debris flying. Emergency services, including a police car and a fire truck, arrive on the scene to tackle the fire and assess the damage.In summary, the video depicts instances of vandalism through spray painting and a significant act of violence with the explosion of a parked car. No abandoned objects or other forms of property destruction are observed beyond these events.",vandalism
10r.mp4,"The key events in the video include the following: two individuals enter a convenience store, with the first individual approaching the counter and interacting with the cashier while the second individual moves to the back of the store and appears to tamper with items on the shelves. Both individuals leave the store without making a purchase. Subsequently, a third customer enters the store and becomes increasingly agitated during an interaction with the cashier, eventually escalating to physical violence, including throwing punches and kicking the cashier. A fourth customer enters and attempts to intervene but is also assaulted. The video concludes with the third customer fleeing the store, and the fourth customer helping the visibly shaken cashier.",vandalism
11r.mp4,"The video depicts a series of events occurring on a city street at night, captured by a CCTV camera. Key events include: A person is seen walking along the sidewalk, Another individual appears, carrying a large object and walking towards the first person, The second person throws the object at the first person, causing them to fall to the ground, The assailant then runs away from the scene, leaving the victim lying on the ground, A vehicle approaches the scene, stops briefly, and then drives away without assisting the victim, Another individual walks by the victim but does not offer help, Eventually, a police car arrives at the scene, and officers get out to attend to the victim. Anomalous activities observed in this video include vandalism (throwing an object at the person), disruption of public property (the object breaking on impact), and violence (assaulting the person). Additionally, there is a suspicious lack of assistance provided to the victim by passersby, which could be considered a form of neglect or indifference towards a person in distress.",vandalism
12r.mp4,"The video depicts a series of events on a street corner at night. Initially, a group of individuals is seen walking towards the camera. One person from the group starts running towards the camera but stops abruptly. Another individual from the group picks up a signboard lying on the ground and runs with it. This person then throws the signboard towards the camera, causing minor damage to the camera housing. After this incident, the group continues walking away from the camera.Overall, there is no clear evidence of violence, abandoned objects, vandalism, or deliberate malicious destruction of property. However, the act of picking up the signboard and throwing it towards the camera can be considered a disruption, as it involves the alteration and potential damage to public property.",vandalism
13r.mp4,"In the video, three youths are seen lingering around a festive Christmas display set up on a quiet, empty public street. The display features a beautifully decorated Christmas tree and various popular Christmas figurines, likely a beloved part of the neighborhood's holiday tradition. Initially, the youths appear to be merely loitering, but their behavior quickly escalates into an act of vandalism. One by one, each youth picks up a Christmas figurine, examining it briefly before deciding to take it. With blatant disregard for the community's efforts and holiday spirit, they walk away from the scene, each carrying a piece of the display with them.

This act of vandalism not only involves the theft of cherished holiday decorations but also defaces and dismantles a carefully arranged Christmas scene. What begins as seemingly innocent loitering quickly turns into a deliberate act of destruction.",vandalism
15r.mp4,"The key events in the video include two individuals interacting with a storefront. Initially, one person approaches the store, looks inside, and walks past it. Shortly after, another person appears, enters the store, and then exits. The first person then returns, enters the store, picks up an item, and leaves. This pattern repeats several times with both individuals entering the store, picking up items, and leaving. There is an instance of vandalism as one individual breaks the glass door to gain entry into the store. The actions of both individuals can be considered mischievous and malicious as they repeatedly enter the store and take items. However, there is no evidence of violence, spray painting, or altering public property in the video.",vandalism
16r.mp4,"The video primarily depicts an empty parking garage. Early in the video, a car enters the frame, drives slowly through the garage, and then reverses back to the entrance. The car remains stationary for a brief period with its headlights off and the engine running. After a short while, the car turns on its headlights and exits the garage. The garage remains empty and quiet once the car leaves.But a person just appears and damages the camera which is an act of vandalism.",vandalism
17r.mp4,"In the video, several key events unfold. Initially, a person wearing a distinctive outfit, including a hooded sweatshirt and patterned pants, enters a convenience store at night. They engage briefly with the cashier before turning back towards the entrance. Suddenly, the individual pulls out a handgun, pointing it at the cashier who then raises their hands in surrender. The person demands money and proceeds to remove cash from the register. After taking the money, they exit the store and run away, leaving the cashier behind. Subsequently, the person returns to the store and, in an unexpected turn of events, begins dancing near the entrance. This draws attention, but the situation escalates when the individual throws an object at the glass door, causing it to shatter. They then leave the store again, leaving the broken glass behind.These actions clearly indicate instances of violence, vandalism, and deliberately malicious destruction of property. The individual not only threatens the cashier with a weapon and steals money but also damages the store's property by shattering the glass door",vandalism
18r.mp4,"The video captures a chaotic scene unfolding within a large supermarket. Initially, the store appears calm with shoppers browsing and employees stocking shelves. However, the situation quickly escalates when a group of individuals begins running through the store, causing other shoppers to scatter in surprise. This activity intensifies as more people join in, creating further disruption by knocking over displays and pushing carts aggressively. Although the scene is chaotic, there are no instances of violence, vandalism, or deliberate destruction of property observed. The actions of the group do result in significant disruption and could be considered damaging to the store's arrangement of items. Security personnel are seen attempting to manage the situation, but their efforts are largely ineffective. As the video progresses, the chaos reaches its peak with multiple fights breaking out and sounds of shattering glass and crashing merchandise. Towards the end, the situation begins to calm down with fewer people running and more individuals observing the aftermath. No abandoned objects are spotted, and the store's overhead announcements urge customers to remain calm and exit the store in an orderly fashion.",vandalism
19r.mp4,"The key events in the video involve a person wearing a hat and a backpack repeatedly approaching, entering, and exiting a building. This individual interacts with the door several times, pauses to look around, and then continues their movement. Throughout the video, there are no instances of violence, abandoned objects, vandalism, or deliberate damage to property. The person does not engage in any activities that could be considered disruptive or involve altering or removing public property.",vandalism
21r.mp4,"The video depicts a person inside an elevator who uses a stepladder to access the ceiling space. The individual, dressed in a black hoodie, jeans, and white sneakers, sets up the stepladder, climbs it, and removes a vent cover to pull themselves up into the ceiling space. They then crawl through the ceiling space and descend back into the elevator using a rope. After folding the stepladder and placing it back behind the door, the person exits the elevator when the door opens, revealing a hallway.Throughout the video, the actions of the person are smooth and deliberate, indicating a planned and resourceful approach to navigating the elevator space. There are no instances of violence, abandoned objects, vandalism, or any form of property damage. The individual does not engage in any activities such as breaking windows, graffiti, keying a car, or any other form of malicious destruction. The video does not depict any acts of vandalism or disruptions, as the person's actions do not involve altering or re",vandalism
22r.mp4,"The video depicts the installation of a garden and a memorial bench in honor of a young girl named Ella, who tragically lost her life in a car accident. This garden is designed to be a peaceful space for the community to reflect and remember her. However, there is an instance of anomalous activity captured in the video. A group of young people is seen engaging in vandalism by damaging the garden and bench. This behavior is both disrespectful to Ella's memory and to the community that values this space. The video provides clear evidence of the vandalism, which could be used to identify the individuals responsible for the damage.",vandalism
23r.mp4,"The video depicts a nighttime street scene where a person, dressed in dark clothing, is seen walking along a street lined with parked cars. This individual repeatedly walks back and forth, stopping occasionally to look around cautiously. At one point, the person appears to tamper briefly with a parked car but does not cause any damage or disruption. Throughout the video, the person seems to be observing their surroundings and possibly waiting for something or someone, while several cars drive by, illuminating the scene briefly with their headlights.There is no evidence of violence, abandoned objects, vandalism, or any deliberate destruction or damage of property in the video. The interaction with the parked car does not involve altering or removing any public property and does not cause any disruption. Therefore, none of the actions mentioned in the question are evident in the video.",vandalism
25r.mp4,"The video depicts a normal day at a convenience store. Early in the video, a man enters the store, briefly pauses to look at the window display, and then proceeds to browse the aisles. Soon after, another man wearing a jacket and a cap enters and heads straight to the counter to talk to the cashier. The first man continues browsing, selects a drink from the refrigerator. The man is seen looking around the refrigerator and then tries to push it. This is disruption of public property and vandalism since the refrigerator topples down.",vandalism
28r.mp4,"The video depicts a sequence where a person approaches a parked car, interacts with it, and eventually drives away. Here are the key events: Early in the video, a person wearing light-colored clothing walks towards a parked car in a driveway. The person tampering with the car's door handle and then enters the vehicle.The individual stays inside the car for a while, possibly tampering with the car's controls or searching for something.The person briefly exits the car but quickly re-enters, and the car's headlights flash on and off, indicating an attempt to start the vehicle.The car then slowly drives away, leaving the frame.There is no evidence of violence, abandoned objects, vandalism, or deliberate destruction of property in the video. However, the actions of the person tampering with the car and driving it away could be considered a disruption or an attempt to commit theft.",vandalism
